,tweets,date,tweet_id,subjectivite,sentiment,replay,tweet
41,Counterintuitive results operations research,2020-08-18 16:35:15,1.2957611874692383e+18,objective,0.0, ,
42,Turing machines accept recursively enumerable languages,2020-08-18 15:45:40,1.2957487073931674e+18,objective,0.0, ,
43,Three notations introduced Kenneth Iverson: floor ceiling indicator  Example combi,2020-08-18 12:33:58,1.295700466937008e+18,objective,0.0, ,
44,A circuit-like notation lambda calculus,2020-08-18 04:51:40,1.2955841240492032e+18,objective,0.0, ,
45,Categories optics  Metaphorical optics lenses prisms functional programming,2020-08-17 23:38:24,1.2955052865522237e+18,objective,0.0, ,
46,Skip lists,2020-08-17 20:55:06,1.2954641928924283e+18,objective,0.0, ,
48,One widely applied techniques math reduce problem linear algebra problem its easier to,2020-08-17 02:02:33,1.295179174194352e+18,objective,-1.0,"['source homology', 'Artificial Intelligence basically lot dot products', 'Isnt basic Artificial Intelligence', 'I trying reduce ABC-conjecture linear algebra problem', 'Being direct blessing curse', 'example: Inverse Scattering Transform turn nonlinear PDEs infinite series linear integro-differential equations actually solved analytically given initial conditions']",
49,I meant include A T Its dot dash also makes sense E  T - A  - Oh - - - I   and -  S,2020-08-16 18:08:17,1.2950598232062034e+18,objective,0.0,"['Perhaps same old sht use case meant informational redundancy built  Some padding ensure legibility', 'as far as I know SOS convention created because way encoded morse meaning eg Save Our Souls verifiably backronymOr I misunderstanding you', 'As far I know code Oh specifically chosen same old sht distinct easily recognizable pattern is', 'If dashes aigned letter signal different name what', 'I making period --- error to It perfect phenomime', 'More likely victim standardization instead mistake Look original American standard:', 'Dont need account listening accurate decoding Oh S look serve parallel purpose pattern', 'The original morse code spaces Oh dot space dot', 'Are Huffman codes prefix-free']",
50,With glaring exceptions Lets go list letters sorted frequency aign codes Sounds,2020-08-16 16:55:31,1.2950415115838874e+18,objective,0.0, ,
51,Morse code roughly form Huffman coding signing shortest symbols frequent letters,2020-08-16 16:52:24,1.2950407271399875e+18,objective,0.0, ,
52,No butterfly effect quantum computing,2020-08-15 22:07:06,1.2947575361727365e+18,objective,0.0, ,
53,Coding tip: convert code see C simply put capo first fret keyboard type normal,2020-08-15 20:20:17,1.2947306549665833e+18,objective,1.0,"['Learn transpose fly Thats real musicians do', 'If want modulate year voice use rubberband tie nutsack thiccer rubberband  octaves', 'Instructions unclear', 'The piano keyboard type True story', 'I intrigued', 'This goes programmers music', 'Yeah I wasnt expecting off', 'So C augmented triad whats C', 'Help I tune keyboard program ADA Do I need constantly capo', 'You need play Ada USO shows though', 'On floor cc guitar lead drink', 'As clarinettist Id recommended transposing tone cope be flat - see thing started', 'As tenor sax player C programmer nods along Actually alto sax player tenor fit better key Signature', 'Why tune keyswitches half step']",
54,A different kind computational survival  Being able scientific work con,2020-08-15 15:12:00,1.294653070400512e+18,Subjective,1.0,['not client billed forSorry disagree totally Tool poverty valid security reasons Security Theatricals makes work slower unpleasantClients need want pay price'],
55,Comparing range precision IEEE posit,2020-08-14 20:55:05,1.2943770247909745e+18,objective,0.0, ,
57,Let x real number let and positive integer If multiply and round down divide and round down,2020-08-14 13:31:16,1.2942653341873848e+18,objective,-1.0, ,
58,Computer science cheat sheet  pdf  math cheat sheet computer scientists,2020-08-13 20:55:13,1.2940146681057116e+18,objective,0.0, ,
59,The first problem proved undecidable equivalence arbitrary lambda expressions,2020-08-13 15:45:38,1.2939367604609106e+18,objective,1.0, ,
60,New NIST publication zero trust architecture  pdf,2020-08-13 11:41:44,1.293875381016068e+18,objective,1.0, ,
61,New post: Unix nicknames symbols,2020-08-13 01:22:44,1.2937196030010696e+18,objective,1.0, ,
62,John von Neumann invented merge sort 1945 It requires Ohand log and comparisons,2020-08-12 20:55:11,1.2936522731643658e+18,objective,0.0, ,
63,Opening black boxes,2020-08-12 15:45:31,1.2935743411422208e+18,objective,-1.0, ,
64,The Hamming distance two bit vectors number places differ,2020-08-11 20:55:12,1.2932898910239457e+18,objective,0.0, ,
65,Accurately computing 2x2 determinant floating point,2020-08-11 15:50:20,1.2932131674059325e+18,Subjective,1.0, ,
66,The Fast Fourier Transform takes Ohand log and operations transform vector length and,2020-08-11 15:45:36,1.2932119781907866e+18,Subjective,1.0, ,
69,Having functional programming ideal doesnt imply programs never side- effects It means that,2020-08-08 23:04:18,1.292235216715686e+18,Subjective,1.0, ,
70,New post: Concentric circle images go wild  Example HAKMEM,2020-08-08 22:38:08,1.29222862969967e+18,objective,1.0, ,
71,A successful software tool one used something undreamed author -- Stephen Johnson,2020-08-07 20:55:10,1.291840330384511e+18,Subjective,1.0, ,
72,Induction makes feel guilty getting something nothing  one greatest ideas civilization  Herbert Wilf,2020-08-07 15:45:37,1.2917624287290737e+18,Subjective,1.0, ,
73,Unnatural language processing,2020-08-06 15:45:35,1.2914000346893885e+18,objective,0.0,['thats unnatural language processing unnatural language processing'],
74,The quadratic equation might want use,2020-08-05 16:21:45,1.2910467485138534e+18,objective,0.0, ,
75,Within computer natural language unnatural -- Alan Perlis,2020-08-05 15:45:43,1.2910376765656023e+18,objective,1.0, ,
76,A primary cause complexity software vendors uncritically adopt almost feature users want- Niklaus W,2020-08-05 01:07:01,1.2908165472510075e+18,Subjective,1.0, ,
77,Claimed proof no problem  roleplay,2020-08-04 21:38:41,1.2907641180986204e+18,objective,0.0,"['Not concept equality measurable', 'Claimed proof no problem  roleplay  RIP', 'Ill read paper soon i have seen Coding Contest winners use randomness great effect Even unproven great tool']",
78,Prefix code examples,2020-08-04 20:55:09,1.2907531605087805e+18,objective,0.0, ,
79,Radix sort revisited,2020-08-04 15:45:42,1.290675287198503e+18,objective,0.0, ,
80,Mr Babbage put machine wrong figures right answers come out I able rightly t,2020-08-04 15:15:37,1.2906677138456576e+18,Subjective,1.0,"['Is Charles Babbage alive dead', 'The author 2nd year Wits University student Hes 18FireFireFireMusawenkosi Nyathi deathmatch 27 340 book R280lockdownextension CyrilMustGo bonang Imagine pandemic lose job code cash', 'Is reference Garbage in Garbage out', 'The question sounds like asker wants know machine thinks For example I input wrong question can haz cheezeberger McDonalds employee I right sandwich Or maybe asker thought demo rigged', 'It wont work humans chance computers accomplish Featuring']",
81,The separating words problem,2020-08-03 21:55:55,1.2904060664387092e+18,objective,0.0, ,
82,I worried algorithms getting prominent world -- Donald Knuth,2020-08-03 20:55:08,1.2903907689773588e+18,Subjective,1.0,"['Why that', 'I prominent enough Too man people stuck sequential execution regardless events them']",
83,Part magic express experience terms odd function sinh only Writing experience sinh  cosh save coefficients,2020-08-03 14:52:37,1.2902995407470633e+18,Subjective,1.0, ,
84,Conceptually define sinh terms experience Numerically better compute experience terms sinh,2020-08-03 13:49:40,1.2902836992467886e+18,Subjective,1.0, ,
85,Find average two unsigned integers without risking overflow: x amp why  x up why gtgt 1 Rounds down,2020-08-02 23:58:21,1.2900744914946253e+18,objective,-1.0, ,
86,Handshaking lemma: The sum degrees nodes undirected graph equals twice number edges,2020-07-31 20:55:10,1.28930361530411e+18,objective,0.0, ,
87,Relational algebra,2020-07-31 15:45:37,1.289225714521092e+18,objective,0.0, ,
88,Problems solved dilemmas managed -- Jeffrey Snover,2020-07-31 14:50:10,1.2892117582891172e+18,objective,0.0,"['Thats problematic', 'Very applicable public policy midst pandemic', 'Any breakthrough revelation science gurus']",
89,Variables and Constants aren't Osbornes Law,2020-07-31 03:56:45,1.2890473224758764e+18,objective,0.0, ,
90,Software sins omission,2020-07-30 20:55:10,1.2889412287851151e+18,objective,0.0, ,
91,There may indeed applications system ie lambda calculus use logic -- Alonzo Church,2020-07-30 15:45:36,1.2888633212870124e+18,objective,0.0,"['shown false', 'yeah like founding McCarthyism']",
92,Unicode codepoint chart,2020-07-29 20:55:09,1.2885788363937956e+18,objective,0.0, ,
93,Ancient Greek computer reconstructed,2020-07-29 15:45:37,1.2885009396289167e+18,objective,0.0, ,
94,Langtons ant two-dimensional Turing machine,2020-07-28 20:55:12,1.2882164589804012e+18,objective,-1.0, ,
95,Does DNA equivalent IF-statements WHILE loops function calls,2020-07-28 16:35:15,1.2881510422748447e+18,objective,0.0, ,
96,No Silver Bullet: Essence Accident Software Engineering  pdf,2020-07-28 15:45:31,1.2881385248106742e+18,objective,0.0, ,
97,New post: Hexadecimal floating point literals  Most programming languages support hex integ,2020-07-28 13:19:06,1.2881016772545618e+18,objective,1.0, ,
98,Accurately computing area thin triangle,2020-07-27 20:55:12,1.287854073333588e+18,Subjective,1.0, ,
99,Why quicksort work well practice,2020-07-27 15:45:34,1.2877761504298803e+18,objective,0.0, ,
100,The term trie came retrieval Was intended pronounced like tree pronounced like try,2020-07-24 20:55:13,1.2867669123331318e+18,objective,0.0,"['So somebody learning biking told try', 'I pronounce like tree', 'Yeah lets specific kind tree homophone tree Zero chance confusion', 'Ive pronounced tree because thats Ive heard pronounced Am I listening wrong people :p']",
101,Hows application program interface,2020-07-24 20:11:09,1.2867558235160822e+18,objective,0.0, ,
103,Generating primes Conways Game Life,2020-07-24 15:45:31,1.286688974686298e+18,objective,-1.0, ,
104,About 1000 instructions reasonable upper limit complexity problems envisioned -- John von Neumann,2020-07-23 20:55:08,1.286404502023811e+18,objective,1.0,"['In 1946 programs written machine code Is thousand lines machine code approx complexity program written today in lets say thousand lines Scala C Lisp', 'After seeing embarraed bloated codebases I helped generated', 'I think John mauchley like completed invention computer', 'I think taken context']",
105,Unix literature,2020-07-23 15:45:35,1.2863266043403018e+18,objective,0.0, ,
106,Overview NIST post-quantum encryption finalists,2020-07-23 12:55:09,1.286283711118549e+18,objective,0.0, ,
107,What complexity cla,2020-07-22 20:55:09,1.2860421185244078e+18,objective,0.0, ,
108,Golay codes,2020-07-22 15:45:36,1.2859642181398446e+18,objective,0.0, ,
109,Life know would different without food for thought -- Charles Van Loan,2020-07-21 20:55:13,1.2856797505606656e+18,Subjective,0.0, ,
110,Thank following,2020-07-21 18:20:15,1.285640750869381e+18,objective,0.0, ,
111,List undecidable problems,2020-07-21 16:20:18,1.2856105642958234e+18,objective,0.0, ,
112,Dynamic programming problem solving strategy unrelated dynamic programming languages,2020-07-21 15:45:34,1.285601820845527e+18,objective,0.0,"['Dynamic programming  brute force  caching', 'Also heavily economics']",
113,Ideas uses color code editors beyond simple syntax highlighting,2020-07-20 21:57:51,1.2853331225911951e+18,objective,0.0, ,
114,The idea people knew thing two 70s strange lot young programmers -- Donald Knuth,2020-07-20 20:55:08,1.2853173418411704e+18,objective,1.0,"['Yes -- caches order execution register renaming branch prediction technologies central performance modern CPUs invented late 1960s IBM', 'Multiple companies pioneered 60s The influential computers UNIVAC LARC IBM Stretch CDC 6600 Project MACGE 645 IBM System 360Model ', 'I point students today So true', 'Yehh Functional Programming']",
116,In opinion Lisp intended highly extensible succeeded well,2020-07-20 15:59:38,1.28524297622306e+18,Subjective,1.0, ,
117,New post: Expressiveness  Summarizes discussion morning,2020-07-20 15:46:06,1.2852395678644675e+18,objective,1.0, ,
118,With great power comes great idiosyncrasy,2020-07-20 14:55:57,1.2852269503830753e+18,Subjective,1.0, ,
119,I would say depends comparing to No way Id use large programs But as,2020-07-20 14:46:14,1.285224502687871e+18,objective,1.0, ,
120,Of course popularity everything And Clojure runs JVM much viable th,2020-07-20 14:40:44,1.285223118567551e+18,objective,1.0, ,
121,Yes Clojure elegant language I mean nobody ever uses a Lisp un,2020-07-20 14:38:01,1.2852224333021184e+18,Subjective,1.0, ,
122,Q: Why people like Lisp much A: Because Lisp expressive Q: Why dont teams use Lisp much A: Because Lisp,2020-07-20 14:23:20,1.285218741123461e+18,objective,1.0,"['You dont maximize productivity maximizing options especially team environment', 'Lisp commercially succesful time write operating systems In opinion Lisp popular compared to say Python fashions industry technical merits', 'In opinion Lisp intended highly extensible succeeded well', 'I liked Common Lisp lot it It shows meny insufficiencies laid groundwork appreciating Haskell', 'Honestly I think its fear syntax or lack thereof', 'I liked Lisp toy play implement DFS Boyfriends tree stuff Ultimately language thousands indents millions parentheses thing I want spend valuable dwindling life seconds on']",
124,Attempts use language interactive shell writing large programs successful,2020-07-20 14:14:11,1.28521643890355e+18,Subjective,1.0,"['I didnt mean uses a Lisp uncommon Clojure currently TIOBE index right IBM control language', 'But ARE large successful programs written Perl at cost', 'A DSL written said language write large programs like probably job though', 'My teams successfully Clojure applications scripting years now']",
125,Compared system programming language like Java Perl complex inconsistent unsafe But compared s,2020-07-20 14:01:42,1.2852132938970317e+18,objective,-1.0, ,
126,Any reversible circuit built Toffoli gates,2020-07-18 01:47:07,1.2843036542673756e+18,objective,0.0, ,
127,The hardest logarithm compute,2020-07-17 20:55:13,1.2842301956297728e+18,objective,0.0, ,
128,Liskov substitution principle,2020-07-17 15:45:33,1.2841522664889385e+18,objective,0.0, ,
129,The early development programming languages Knuth Pardo  pdf,2020-07-16 20:55:07,1.2838677831057859e+18,objective,1.0, ,
130,List calculi: lambda calculus predicate calculus pi calculus,2020-07-16 20:42:37,1.2838646396595487e+18,objective,0.0, ,
131,One productive days throwing away lines code -- Ken Thompson,2020-07-16 15:45:37,1.2837898975523348e+18,objective,0.0,"['This practically makes salivate lines Instant Message psyched I cut 10', 'How program nowadays', 'One productive days throwing away lines Kens code', 'Yeah code refactoring copy-paste code soooo satisfying experience Homer Simpson drooling sounds']",
133,Parsing expressions recursive descent,2020-07-15 15:45:37,1.283427507136602e+18,objective,0.0, ,
134,Hilbert's decision problem,2020-07-14 20:55:10,1.2831430202133463e+18,objective,0.0, ,
135,The purpose abstraction vague create new semantic level one absolutely precise - Edsger Dijkstra,2020-07-14 15:45:33,1.2830651036136653e+18,Subjective,1.0,"['Dijkstra very overratedhe despised Doug Engelbart', 'Its cornerstone science']",
136,In neutral zone polynomial sub-exponential,2020-07-14 14:02:13,1.2830390978676982e+18,objective,0.0, ,
137,Code-based cryptography  postquantum crypto,2020-07-13 20:55:08,1.282780624101802e+18,objective,0.0, ,
138,The Analytical Engine pretensions whatever originate anything It whatever know order per,2020-07-13 16:03:09,1.2827071447316562e+18,objective,0.0, ,
140,The wonderful world early computing,2020-07-10 20:55:08,1.281693461222228e+18,Subjective,1.0, ,
141,The Church numeral non-negative integer and λxy xn,2020-07-10 15:45:32,1.281615547822637e+18,objective,0.0, ,
142,How compute area polygon,2020-07-09 20:55:13,1.281331096052007e+18,objective,0.0, ,
143,New post: Software analysis synthesis  Image via,2020-07-09 17:23:24,1.281277787995865e+18,objective,1.0, ,
144,Timeline parsing,2020-07-09 15:45:33,1.2812531648560292e+18,objective,0.0, ,
145,One persons data another persons program -- Guy L Steele Jr,2020-07-08 20:55:12,1.2809687026707988e+18,objective,0.0,"['i have read quote couple times got', 'Very true Ask Data Warehouse user']",
146,Turing degree,2020-07-08 15:45:41,1.2808908107504271e+18,objective,0.0, ,
147,NEW BOOK Ten Essays Fizz Buzz  This book good I wish Id written it --,2020-07-08 11:45:40,1.280830407068582e+18,objective,1.0, ,
149,CMOS signal reflection  By,2020-07-08 11:08:17,1.2808210014383145e+18,objective,0.0, ,
150,Patterns mean I run language  Rich Hickey,2020-07-08 01:39:12,1.2806777872386417e+18,Subjective,1.0, ,
151,Merge sort stable,2020-07-07 20:55:17,1.2806063355964826e+18,objective,0.0, ,
152,Extracting independent random bits dependent sources,2020-07-07 15:55:27,1.2805308789601976e+18,objective,-1.0, ,
153,How fast multiply two matrices,2020-07-07 15:45:44,1.280528432779219e+18,objective,1.0, ,
154,More code golf challenge: Write smallest code encode decode digits Morse code,2020-07-07 14:13:53,1.2805053196853084e+18,Subjective,1.0,"[' solutions posted farPython see awkward APL Java No Perl yet', 'Do I subtract golf handicap calculate resulting score', 'morse code   characters or   people probably use - dash on-off keying strictly defined rations different durations']",
155,Every cellular automaton local automaton -- Curtis Hedlund Lyndon theorem,2020-07-06 20:55:12,1.2802439245489275e+18,objective,0.0, ,
156,Security feeling reality And they are same -- Bruce Schneier,2020-07-06 15:45:45,1.2801660528701768e+18,objective,0.0, ,
157,Anna Karlin Nathan Klein improved Christofides algorithm You got to love 1-line abstract: For s,2020-07-06 12:24:23,1.280115374533628e+18,Subjective,1.0, ,
158,,2020-07-06 12:23:43,1.280115208753746e+18,objective,0.0, ,
159,Algorithms commodities,2020-07-06 12:02:39,1.280109905043755e+18,objective,0.0,['Often involving memes contradict foundational principles libraries frameworks'],
160,Differential privacy platform developed Microsoft Harvard,2020-07-04 19:28:55,1.2794974365291315e+18,objective,1.0, ,
161,Timeline computer science,2020-07-03 20:55:14,1.2791567692065546e+18,objective,0.0, ,
162,A Gentle introduction Hamming codes,2020-07-03 15:45:33,1.2790788367397356e+18,Subjective,1.0, ,
163,Beware bugs code I proved correct tried it -- Donald Knuth,2020-07-02 20:55:13,1.2787943798854943e+18,objective,0.0,"['falsely attributed Yogi Berra suspected originated science conference', 'We programming language question implemented campus students protected temptation test programs', 'I remember commit company seven furloughed was I remember comment contained string']",
164,Binary lambda calculus,2020-07-02 15:45:44,1.2787164955399823e+18,objective,0.0, ,
165,Salt pepper pawords,2020-07-02 14:33:53,1.2786984133961974e+18,objective,0.0, ,
166,Sometimes elegant implementation function Not method Not cla Not framework Just function -- John Carmack,2020-07-01 20:55:14,1.278431997464019e+18,Subjective,1.0, ,
167,In terms of say computer technology headed cottage economics whee important industrial ac,2020-07-01 20:30:53,1.278425869606957e+18,Subjective,1.0, ,
168,Linearity curse cryptographer  J L Maey,2020-07-01 15:51:05,1.2783554530098995e+18,objective,0.0,"['One reason nonlinearity measures Boolean functions:', 'Linearity life So fragile strong easily messed up Let use eigenvalues theorems decompositions']",
169,Encryption recommendations moving PQC,2020-07-01 15:45:48,1.2783541253911224e+18,objective,0.0, ,
170,beta: Evidence-based Software Engineering  book,2020-07-01 01:53:31,1.278144673484243e+18,objective,0.0, ,
171,It turns style matters programming reason matters writing It makes better reading,2020-06-30 21:37:07,1.27808014890718e+18,Subjective,1.0, ,
172,Literature Lisp rarely resists narcissistic pleasure describing Lisp Lisp -- Christian Queinnec Lisp,2020-06-30 21:30:43,1.2780785386341908e+18,objective,1.0, ,
173,A graph k-connected remains connected k-1 vertices removed,2020-06-30 20:55:13,1.2780696034287084e+18,objective,0.0,"['I understood wrong: isnt simpler graph k-connected nodes ok connections thats scenario removing k-1 connections wont cause node disconnect', 'Boyfriends DFS check 1-connected']",
174,Double words would normally errors correct technical writing,2020-06-30 16:59:12,1.2780102089466552e+18,objective,1.0, ,
175,Reverse-Polish notation RPN,2020-06-30 15:45:41,1.2779917067267113e+18,objective,0.0,"['HP calculators', 'great Notation Polish Reverse', 'The advantage I read need parenthesis I thought I preferred Polish notation because I like x86 asm I saw x-5 7 nope']",
176,ECDSA: Handle care,2020-06-29 23:33:05,1.2777469429074289e+18,objective,0.0, ,
177,The psychological profiling of programmer mostly ability shift levels abstraction low level,2020-06-29 20:55:10,1.27770720211191e+18,objective,1.0, ,
178,State machines,2020-06-29 15:45:51,1.2776293604014612e+18,objective,0.0, ,
179,The worlds simple sorting size system,2020-06-28 11:51:08,1.27720790496213e+18,objective,0.0, ,
180,What differential privacy,2020-06-26 20:55:07,1.2766200277525258e+18,objective,0.0, ,
181,The halting problem: You cannot write program tell whether arbitrary program complete run forever,2020-06-26 15:45:56,1.2765422194832548e+18,Subjective,0.0,"['In grad school I blindly accepted proof Having lived long time wiser realizes I dont care arbitrary programs I care halting subset I useful programs Trival programs easy prove wheres line', 'The proof pretty neat too Basically run inverted version program original causes paradox', 'I hate formulation halting problem conflates effective procedure programs misleading way', 'My question problem actually want solve  achieves solving this']",
